month,output,input
2017-01,1827.52414,1314.09245
2017-02,1200.78967,1292.26647
2017-03,1806.00668,1566.84253
2017-04,1799.88316,1419.55685
2017-05,1910.14115,1502.2019
2017-06,1965.90894,1538.3833
2017-07,1936.01151,1468.76295
2017-08,1993.42432,1574.23163
2017-09,1982.31216,1696.2575
2017-10,1889.7973,1507.94685
2017-11,2173.82015,1771.67943
2017-12,2317.96372,1771.11682
2018-01,2004.91435,1801.42312
2018-02,1716.16391,1378.64792
2018-03,1741.21483,1791.0426
2018-04,2000.35315,1716.53187
2018-05,2128.69326,1879.47777
2018-06,2165.97141,1751.27271
2018-07,2155.65384,1875.15616
2018-08,2173.72208,1894.85783
2018-09,2266.86815,1949.84435
2018-10,2172.83435,1832.66962
2018-11,2274.45523,1827.40526
2018-12,2212.49124,1641.93569
2019-01,2175.66642,1784.09792
2019-02,1352.0063,1311.19542
2019-03,1986.5579,1659.84372
2019-04,1934.8126,1796.47719
2019-05,2138.45417,1721.87571
2019-06,2128.35863,1769.40637
2019-07,2215.53908,1799.59655
2019-08,2147.86135,1652.13108
2019-09,2181.23102,1784.74843
2019-10,2129.16095,1698.98075
2019-11,2213.37434,1834.11013
2019-12,2382.67589,1910.57245
2020-03,1851.46228,1652.13108
2020-04,2002.33629,1549.0058
