time,TRSCG
2008年1月,9077.3
2008年2月,8354.7
2008年3月,8123.2
2008年4月,8142
2008年5月,8703.5
2008年6月,8642
2008年7月,8628.8
2008年8月,8767.7
2008年9月,9446.5
2008年10月,10082.7
2008年11月,9790.8
2008年12月,10728.5
2009年1月,10756.6
2009年2月,9323.8
2009年3月,9317.6
2009年4月,9343.2
2009年5月,10028.4
2009年6月,9941.6
2009年7月,9936.5
2009年8月,10115.6
2009年9月,10912.8
2009年10月,11717.6
2009年11月,11339
2009年12月,12610
2010年1月,12718.1
2010年2月,12334.2
2010年3月,11321.7
2010年4月,11510.4
2010年5月,12455.06
2010年6月,12329.9
2010年7月,12252.8
2010年8月,12569.8
2010年9月,13536.5
2010年10月,14284.8
2010年11月,13910.9
2010年12月,15329.5
2011年1月,15249
2011年2月,13769.1
2011年3月,13588
2011年4月,13649
2011年5月,14696.8
2011年6月,14565.1
2011年7月,14408
2011年8月,14705
2011年9月,15865.1
2011年10月,16546.4
2011年11月,16128.9
2011年12月,17739.7
2012年1月,16160.95
2012年2月,15650.2
2012年3月,16160.95
2012年4月,15603.1
2012年5月,16714.8
2012年6月,16584.9
2012年7月,16314.9
2012年8月,16658.9
2012年9月,18227
2012年10月,18933.8
2012年11月,18476.7
2012年12月,20334.21
2013年1月,19661.12
2013年2月,18148.72
2013年3月,17641.2
2013年4月,17600
2013年5月,18886.3
2013年6月,18826.68
2013年7月,18513.16
2013年8月,18886.2
2013年9月,20653.34
2013年10月,21491.3
2013年11月,21011.9
2013年12月,23059.7
2014年1月,21985.96
2014年2月,20294.74
2014年3月,19800.55
2014年4月,19701.2
2014年5月,21249.8
2014年6月,21166.45
2014年7月,20775.79
2014年8月,21133.93
2014年9月,23042.43
2014年10月,23967.24
2014年11月,23474.7
2014年12月,25801.31
2015年1月,24956.11
2015年2月,23036.4
2015年3月,22722.81
2015年4月,22386.71
2015年5月,24194.82
2015年6月,24280.27
2015年7月,24338.78
2015年8月,24893.36
2015年9月,25270.6
2015年10月,28278.89
2015年11月,27937.35
2015年12月,28635
2016年1月,27513.2
2016年2月,25396.8
2016年3月,25114
2016年4月,24646
2016年5月,26611
2016年6月,26857
2016年7月,26827
2016年8月,27540
2016年9月,27976
2016年10月,31119
2016年11月,30959
2016年12月,31757
2017年1月,30139.2
2017年2月,27820.8
2017年3月,27864
2017年4月,27278
2017年5月,29459
2017年6月,29808
2017年7月,29610
2017年8月,30330
2017年9月,30870
2017年10月,34241
2017年11月,34108
2017年12月,34734
2018年1月,31762.54
2018年2月,29319.26
2018年3月,29194
2018年4月,28542
2018年5月,30359
2018年6月,30842
2018年7月,30734
2018年8月,31542
2018年9月,32005
2018年10月,35534
2018年11月,35260
2018年12月,35893
2019年1月,34353.28
2019年2月,31710.72
2019年3月,31726
2019年4月,30586
2019年5月,32956
2019年6月,33878
,
,
,
,
,
,
