time,cpi
2016年1月,101.8
2016年2月,102.3
2016年3月,102.3
2016年4月,102.3
2016年5月,102
2016年6月,101.9
2016年7月,101.8
2016年8月,101.3
2016年9月,101.9
2016年10月,102.1
2016年11月,102.3
2016年12月,102.1
2017年1月,102.5
2017年2月,100.8
2017年3月,100.9
2017年4月,101.2
2017年5月,101.5
2017年6月,101.5
2017年7月,101.4
2017年8月,101.8
2017年9月,101.6
2017年10月,101.9
2017年11月,101.7
2017年12月,101.8
2018年1月,101.5
2018年2月,102.9
2018年3月,102.1
2018年4月,101.8
2018年5月,101.8
2018年6月,101.9
2018年7月,102.1
2018年8月,102.3
2018年9月,102.5
2018年10月,102.5
2018年11月,102.2
2018年12月,101.9
2019年1月,101.7
2019年2月,101.5
2019年3月,102.3
2019年4月,102.5
2019年5月,102.7
2019年6月,102.7
